theta1,x1,y1,z1,x2,y2,z2
0.0,1.0,0.0,0.0,-1.0,1.2246467991473532e-16,0.0
36.0,0.8090169943749475,0.5877852522924731,0.33999999999999997,-0.8090169943749475,-0.587785252292473,0.33999999999999997
72.0,0.30901699437494745,0.9510565162951535,0.6799999999999999,-0.30901699437494756,-0.9510565162951535,0.6799999999999999
108.0,-0.30901699437494734,0.9510565162951536,1.02,0.30901699437494723,-0.9510565162951536,1.02
144.0,-0.8090169943749473,0.5877852522924732,1.3599999999999999,0.8090169943749473,-0.5877852522924734,1.3599999999999999
180.0,-1.0,1.2246467991473532e-16,1.6999999999999997,1.0,-2.4492935982947064e-16,1.6999999999999997
216.0,-0.8090169943749475,-0.587785252292473,2.0399999999999996,0.8090169943749476,0.5877852522924729,2.0399999999999996
252.0,-0.30901699437494756,-0.9510565162951535,2.3799999999999994,0.30901699437494773,0.9510565162951535,2.3799999999999994
288.0,0.30901699437494723,-0.9510565162951536,2.7199999999999993,-0.3090169943749471,0.9510565162951536,2.7199999999999993
324.0,0.8090169943749473,-0.5877852522924734,3.059999999999999,-0.8090169943749472,0.5877852522924734,3.059999999999999
360.0,1.0,-2.4492935982947064e-16,3.399999999999999,-1.0,3.6739403974420594e-16,3.399999999999999
396.0,0.8090169943749476,0.5877852522924729,3.739999999999999,-0.8090169943749477,-0.5877852522924728,3.739999999999999
432.0,0.30901699437494773,0.9510565162951535,4.079999999999999,-0.30901699437494784,-0.9510565162951534,4.079999999999999
468.0,-0.3090169943749471,0.9510565162951536,4.419999999999999,0.309016994374947,-0.9510565162951538,4.419999999999999
504.0,-0.8090169943749472,0.5877852522924734,4.759999999999999,0.8090169943749471,-0.5877852522924735,4.759999999999999
540.0,-1.0,3.6739403974420594e-16,5.099999999999999,1.0,-4.898587196589413e-16,5.099999999999999
576.0,-0.8090169943749477,-0.5877852522924728,5.439999999999999,0.8090169943749478,0.5877852522924727,5.439999999999999
612.0,-0.30901699437494784,-0.9510565162951534,5.7799999999999985,0.30901699437494795,0.9510565162951534,5.7799999999999985
648.0,0.309016994374947,-0.9510565162951538,6.119999999999998,-0.3090169943749469,0.9510565162951538,6.119999999999998
684.0,0.8090169943749471,-0.5877852522924735,6.459999999999998,-0.8090169943749471,0.5877852522924736,6.459999999999998
720.0,1.0,-4.898587196589413e-16,6.799999999999998,-1.0,6.123233995736766e-16,6.799999999999998
756.0,0.8090169943749478,0.5877852522924727,7.139999999999998,-0.8090169943749478,-0.5877852522924726,7.139999999999998
792.0,0.30901699437494795,0.9510565162951534,7.479999999999998,-0.30901699437494806,-0.9510565162951534,7.479999999999998
828.0,-0.3090169943749469,0.9510565162951538,7.819999999999998,0.3090169943749468,-0.9510565162951538,7.819999999999998
864.0,-0.8090169943749471,0.5877852522924736,8.159999999999998,0.809016994374947,-0.5877852522924737,8.159999999999998
900.0,-1.0,6.123233995736766e-16,8.499999999999998,1.0,-7.347880794884119e-16,8.499999999999998
936.0,-0.2595709893496086,-0.5877852522924726,9.338290760223169,0.7804812106705137,0.5877852522924725,8.098804814363675
972.0,0.3222779261541134,-0.9510565162951534,9.173816325957102,0.7195425164876967,0.9510565162951533,8.700374823216588
1008.0,0.9799976271481484,-0.9510565162951538,8.918922610510013,0.5827330368145669,0.9510565162951539,9.392364113250524
1044.0,1.5618465426518706,-0.5877852522924737,8.754448176243946,0.5217943426317495,0.5877852522924738,9.993934122103438
1080.0,1.9450631629888018,-7.347880794884119e-16,8.826694493348137,0.6594879436157232,8.572527594031472e-16,10.358783379586093
1116.0,2.082756763972776,0.5877852522924725,9.191543750830792,1.0427045639526535,-0.5877852522924725,10.431029696690285
1152.0,2.021818069789959,0.9510565162951533,9.793113759683704,1.6245534794563754,-0.9510565162951533,10.26655526242422
1188.0,1.885008590116829,0.9510565162951539,10.48510304971764,2.28227318045041,-0.9510565162951539,10.011661546977129
1224.0,1.8240698959340114,0.5877852522924738,11.086673058570554,2.8641220959541327,-0.5877852522924739,9.847187112711062
1260.0,1.9617634969179853,8.572527594031472e-16,11.45152231605321,3.247338716291064,-9.797174393178826e-16,9.919433429815253
1296.0,2.3449801172549156,-0.5877852522924725,11.5237686331574,3.385032317275038,0.5877852522924724,10.284282687297909
1332.0,2.9268290327586377,-0.9510565162951533,11.359294198891336,3.3240936230922213,0.9510565162951533,10.88585269615082
1368.0,3.5845487337526727,-0.9510565162951539,11.104400483444245,3.1872841434190917,0.9510565162951539,11.577841986184758
1404.0,4.166397649256395,-0.5877852522924739,10.93992604917818,3.1263454492362737,0.587785252292474,12.17941199503767
1440.0,4.549614269593326,-9.797174393178826e-16,11.012172366282371,3.264039050220248,1.102182119232618e-15,12.544261252520325
1476.0,4.687307870577301,0.5877852522924724,11.377021623765025,3.647255670557178,-0.5877852522924722,12.616507569624517
1512.0,4.626369176394484,0.9510565162951533,11.978591632617938,4.2291045860609,-0.9510565162951532,12.452033135358452
1548.0,4.489559696721353,0.9510565162951539,12.670580922651874,4.886824287054934,-0.951056516295154,12.197139419911363
1584.0,4.428621002538536,0.587785252292474,13.272150931504786,5.468673202558657,-0.5877852522924741,12.032664985645297
1620.0,4.5663146035225095,1.102182119232618e-15,13.637000188987443,5.851889822895589,-1.2246467991473533e-15,12.104911302749485
1656.0,4.94953122385944,-0.5877852522924722,13.709246506091635,5.989583423879564,0.5877852522924693,12.469760560232139
1692.0,5.531380139363161,-0.9510565162951532,13.54477207182557,5.928644729696746,0.9510565162951532,13.071330569085053
1728.0,6.189099840357197,-0.951056516295154,13.289878356378479,5.791835250023614,0.9510565162951529,13.763319859118994
1764.0,6.770948755860919,-0.5877852522924741,13.125403922112413,5.730896555840799,0.5877852522924742,14.364889867971904
1800.0,7.154165376197851,-1.2246467991473533e-15,13.197650239216603,5.868590156824772,4.899825157862589e-15,14.72973912545456
